fetched_at,feed,header_timestamp,bytes,entities,trip_updates,vehicles,alerts,archived
2026-09-10T20:50:56+00:00,trip-updates,1789073393,13,0,0,0,0,data/raw/2026-09-10/trip-updates-204953.pb
2026-09-10T20:50:57+00:00,service-alerts,1789019121,8368,5,0,0,5,data/raw/2026-09-10/service-alerts-054521.pb
2026-09-10T20:51:13+00:00,trip-updates,1789073454,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205054.pb
2026-09-10T20:51:13+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:52:55+00:00,trip-updates,1789073514,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205154.pb
2026-09-10T20:52:55+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:52:57+00:00,trip-updates,1789073514,13,0,0,0,0,
2026-09-10T20:52:58+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:53:49+00:00,trip-updates,1789073574,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205254.pb
2026-09-10T20:53:50+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:54:30+00:00,trip-updates,1789073634,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205354.pb
2026-09-10T20:54:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:56:30+00:00,trip-updates,1789073754,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205554.pb
2026-09-10T20:56:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T20:58:30+00:00,trip-updates,1789073874,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205754.pb
2026-09-10T20:58:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:00:30+00:00,trip-updates,1789073994,13,0,0,0,0,data/raw/2026-09-10/trip-updates-205954.pb
2026-09-10T21:00:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:02:30+00:00,trip-updates,1789074113,13,0,0,0,0,data/raw/2026-09-10/trip-updates-210153.pb
2026-09-10T21:02:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:04:30+00:00,trip-updates,1789074233,13,0,0,0,0,data/raw/2026-09-10/trip-updates-210353.pb
2026-09-10T21:04:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:06:30+00:00,trip-updates,1789074355,13,0,0,0,0,data/raw/2026-09-10/trip-updates-210555.pb
2026-09-10T21:06:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
